ID,Name,"Accessory Category",Manufacturer,Supplier,Location,Total,"Min. QTY",Avail,"Purchase Date","Purchase Cost"
3," keyboard",logitech,logitech,sagar,Lucknow,160,1,28,2020-10-29,525.00
4," Mouse",Dell,dell,sagar,Lucknow,182,1,44,2020-10-29,275.00
5," SMPS","power supply",fingers,sagar,Lucknow,7,1,0,,860.00
6," Headphone",logitech,logitech,sagar,Lucknow,3,1,1,,
7," POWER CABLE",N/a,,sagar,Lucknow,12,,3,2020-10-31,
8," SMPS","power supply",Foxin,sagar,Lucknow,2,1,0,,
9," Mac-mini",Apple-mac-mini,Apple,Unicorn,Lucknow,1,1,1,,
10," Usb cable  (normal)",N/a,Qhmpl,sagar,Lucknow,4,1,3,,
11," Type -c Usb",N/a,Qhmpl,sagar,Lucknow,2,1,2,,
12," Graphic Card 4GB",N/a,MSI,sagar,Lucknow,1,,1,,
13," Mac VGA connector ",Apple-mac-mini,Foxin,sagar,Lucknow,5,1,5,,
14," power cable",Apple-mac-mini,Foxin,sagar,Lucknow,1,1,1,,
15," AOC/Printer-Cable",Display,zotex,sagar,Lucknow,5,,4,,
16," Laptop Adapter",Custom,Lapgrade,,Lucknow,2,1,2,,
17," dell - keyboard",Dell,dell,sagar,Lucknow,30,1,30,2020-12-14,
,,,,,,,,,,1660.00
