Name,Type,QTY,"Send Email",Acceptance
" Misc Software",License,0,,
" Design",License,0,,
" logitech",Accessory,2,,
" keyboard",Component,0,,
" keyboard-logi",Asset,0,,
" Dell",Accessory,2,,
" software",License,0,,
" Printer ink 12A",Component,0,,
" black&amp;white",Component,0,,
" Colour ink",Component,0,,
" printer-ink-12a",Consumable,0,,
" black ink",Consumable,3,,
" Color ink",Consumable,1,,
" power supply",Accessory,2,,
" routers",Component,2,,
" N/a",Accessory,4,,
" Custom",Accessory,1,,
" Apple-mac-mini",Accessory,3,,
" switch",Component,2,,
" WIFI",Component,1,,
" HDD",Component,3,,
" Laptop HDD",Component,1,,
" SSD",Component,2,,
" Splitter",Component,1,,
" Display",Accessory,1,,
" unused/damage",Accessory,0,,
" logitech+Dell",Asset,0,,
" Logi + Dell mouse",Asset,2,,
" Logi + Dell keyboard",Asset,2,,
" Laptop",Asset,26,,
" desktop",Asset,245,,
,,,,
